id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1492083347631259649,1492083347631259649,2022-02-11 15:59:26 India Standard Time,2022-02-11,15:59:26,+0530,1407476496361533441,srkssamina_,Samina ✨,,Dil se dua for my two precious boys @iamsrk 🤲🏽✨ Love you both ♾  https://t.co/e7c55q5hks,en,"[{'screen_name': 'iamsrk', 'name': 'shah rukh khan', 'id': '101311381'}]",[],['https://pbs.twimg.com/media/FLTx5PpWUAMabaU.jpg'],2,20,158,[],[],https://twitter.com/SRKsSamina_/status/1492083347631259649,False,,1,https://pbs.twimg.com/media/FLTx5PpWUAMabaU.jpg,,,,,,,[],,,,
1492049891010355204,1492049891010355204,2022-02-11 13:46:29 India Standard Time,2022-02-11,13:46:29,+0530,1294561835371249664,srkiandas04,😎Sourav Srkian Das😎,,Savage King @iamsrk 😂😂  #ShahRukhKhan  https://t.co/wnUvub5rmH,en,"[{'screen_name': 'iamsrk', 'name': 'shah rukh khan', 'id': '101311381'}]",[],[],1,44,180,['shahrukhkhan'],[],https://twitter.com/SrkianDas04/status/1492049891010355204,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1489872556433805312/pu/img/V4cMAY8p8LvSMumy.jpg,,,,,,,[],,,,
1492046274060640258,1492046274060640258,2022-02-11 13:32:07 India Standard Time,2022-02-11,13:32:07,+0530,1132718437900308480,shahban4srk,Sʜᴀʜʙᴀɴ Eᴅɪᴛs🌠,,Happy promise day ♥️ @iamsrk  #ShahRukhKhan #SRK #promiseday #SRKians #shahbanedits  https://t.co/eB1pURSJHA,en,"[{'screen_name': 'iamsrk', 'name': 'shah rukh khan', 'id': '101311381'}]",[],['https://pbs.twimg.com/media/FLTQGtOWYAAaEw-.jpg'],0,20,167,"['shahrukhkhan', 'srk', 'promiseday', 'srkians', 'shahbanedits']",[],https://twitter.com/shahban4srk/status/1492046274060640258,False,,1,https://pbs.twimg.com/media/FLTQGtOWYAAaEw-.jpg,,,,,,,[],,,,
1492046158947962885,1492046158947962885,2022-02-11 13:31:39 India Standard Time,2022-02-11,13:31:39,+0530,1213360097864192000,srksdiary,SRK's Diary,,"""Chennai Express” Screened in Cairo theaters marking the return of Hindi cinema to Egypt🇪🇬 after 25 Year's. Most Famous Indian Star in Egypt | #ShahRukhKhan | @iamSRK.  https://t.co/pn9SqI2jGm",en,"[{'screen_name': 'iamsrk', 'name': 'shah rukh khan', 'id': '101311381'}]",[],"['https://pbs.twimg.com/media/FLTQD3RWQAsLt6p.jpg', 'https://pbs.twimg.com/media/FLTQEagWQBAr2uR.jpg']",0,48,230,['shahrukhkhan'],[],https://twitter.com/SRKsDiary/status/1492046158947962885,False,,1,https://pbs.twimg.com/media/FLTQD3RWQAsLt6p.jpg,,,,,,,[],,,,
1492017674972721156,1492017674972721156,2022-02-11 11:38:28 India Standard Time,2022-02-11,11:38:28,+0530,2871661402,retouch_gallery,Rєтσυcн Gαℓℓєяу,,.@iamsrk ❤️ #KatrinaKaif #JabTakHaiJaan @Retouch_Gallery #ShahRukhKhan #SRK  https://t.co/9oo6vwhOIn,und,"[{'screen_name': 'iamsrk', 'name': 'shah rukh khan', 'id': '101311381'}, {'screen_name': 'retouch_gallery', 'name': 'rєтσυcн gαℓℓєяу', 'id': '2871661402'}]",[],['https://pbs.twimg.com/media/FLS2GskXEAA42Hi.jpg'],0,19,185,"['katrinakaif', 'jabtakhaijaan', 'shahrukhkhan', 'srk']",[],https://twitter.com/Retouch_Gallery/status/1492017674972721156,False,,1,https://pbs.twimg.com/media/FLS2GskXEAA42Hi.jpg,,,,,,,[],,,,
1491999438721617925,1491999438721617925,2022-02-11 10:26:00 India Standard Time,2022-02-11,10:26:00,+0530,1213360097864192000,srksdiary,SRK's Diary,,"Yash Johar 's love for @iamSRK   ""#ShahRukhKhan Is Like Son To Me, He Is Like Friend To Me &amp; I Do Not Know How... I Will Ever Be Able To Make a Picture Without Him"" - #YashJohar   https://t.co/YmMWtUtEPg",en,"[{'screen_name': 'iamsrk', 'name': 'shah rukh khan', 'id': '101311381'}]",[],[],3,121,539,"['shahrukhkhan', 'yashjohar']",[],https://twitter.com/SRKsDiary/status/1491999438721617925,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1491999285965172754/pu/img/n36QEiGFWnFhJcmX.jpg,,,,,,,[],,,,
1491992912074207232,1491992912074207232,2022-02-11 10:00:04 India Standard Time,2022-02-11,10:00:04,+0530,949931905662644224,brijwasrkman,BRIJWA SRK FAN,,"Trend for ""My Name Is Khan"" will be at 9:30pm IST. [11½ hours from now so set the reminder]  Will give an alert at 9pm too  It will be the official hashtag ie:- # 12YearsOfMyNameIsKhan   Spread love for @iamsrk, @itsKajolD &amp; @karanjohar's CLASSIC ❤  Share from your accs too 🙏😊  https://t.co/PXgbPvMqXd",en,"[{'screen_name': 'iamsrk', 'name': 'shah rukh khan', 'id': '101311381'}, {'screen_name': 'itskajold', 'name': 'kajol', 'id': '2805358944'}, {'screen_name': 'karanjohar', 'name': 'karan johar', 'id': '57928790'}]",[],['https://pbs.twimg.com/media/FLSfpWFagAAMng7.jpg'],5,99,162,[],[],https://twitter.com/BrijwaSRKman/status/1491992912074207232,False,,1,https://pbs.twimg.com/media/FLSfpWFagAAMng7.jpg,,,,,,,[],,,,
1491988823508541440,1491988823508541440,2022-02-11 09:43:49 India Standard Time,2022-02-11,09:43:49,+0530,1444305442511863810,alishan_jafri,Alishan Jafri,,"This vile man is comparing SRK's son getting bail for a drug abuse case (for 5-10 grams of ganja that he did not possess) with a minister's son who reportedly murdered 5 farmers. Remember this Nαzi's face. He is the first one to normalize the g'enocide monger, Yati Narsinghanand.",en,[],[],[],70,1018,3814,[],[],https://twitter.com/alishan_jafri/status/1491988823508541440,False,https://twitter.com/SushantBSinha/status/1491840392328667146,0,,,,,,,,[],,,,
1491978928205942788,1491978928205942788,2022-02-11 09:04:30 India Standard Time,2022-02-11,09:04:30,+0530,1294561835371249664,srkiandas04,😎Sourav Srkian Das😎,,Good Morning And Happy Promise Day @iamsrk Sir and All Srkians ❤  #HappyPromiseDay  https://t.co/Q7pGq9JPHJ,en,"[{'screen_name': 'iamsrk', 'name': 'shah rukh khan', 'id': '101311381'}]",[],['https://pbs.twimg.com/media/FLSS7S9acAIhfgS.jpg'],2,25,161,['happypromiseday'],[],https://twitter.com/SrkianDas04/status/1491978928205942788,False,,1,https://pbs.twimg.com/media/FLSS7S9acAIhfgS.jpg,,,,,,,[],,,,
1491894057614086146,1491894057614086146,2022-02-11 03:27:16 India Standard Time,2022-02-11,03:27:16,+0530,76588213,fsharkz,Shaki,,Aaah the best and most sensible Indian journalist is crazy about SRK like all of us. Obviously. 🥰  https://t.co/YAFt5yznoK,en,[],[],['https://pbs.twimg.com/media/FLRFuyfWYAUU6pG.jpg'],2,41,211,[],[],https://twitter.com/fsharkz/status/1491894057614086146,False,,1,https://pbs.twimg.com/media/FLRFuyfWYAUU6pG.jpg,,,,,,,[],,,,
