id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1491440990212608000,1491440990212608000,2022-02-09 21:26:56 India Standard Time,2022-02-09,21:26:56,+0530,605501349,boriamajumdar,Boria Majumdar,,"Well bowled Prasidh Krishna. If he can do this with the white ball, he will be a red ball asset with opportunities. Series win for @ImRo45 and #RahulDravid hope the @RishabhPant17 experiment continues.",en,"[{'screen_name': 'imro45', 'name': 'rohit sharma', 'id': '121046433'}, {'screen_name': 'rishabhpant17', 'name': 'rishabh pant', 'id': '730375072876105728'}]",[],[],37,242,3787,['rahuldravid'],[],https://twitter.com/BoriaMajumdar/status/1491440990212608000,False,,0,,,,,,,,[],,,,
1491388190753955850,1491388190753955850,2022-02-09 17:57:07 India Standard Time,2022-02-09,17:57:07,+0530,1480057580290457602,criccrazysagar7,Sagar🏏🏏,,"Before KL Rahul, in the year 2006, Indian head coach Rahul Dravid was run out on the score of 49 (against WI in Ahemdabad)  #INDvWI",en,[],[],[],0,4,206,['indvwi'],[],https://twitter.com/CricCrazySagar7/status/1491388190753955850,False,,0,,,,,,,,[],,,,
1491357910076891138,1491357910076891138,2022-02-09 15:56:48 India Standard Time,2022-02-09,15:56:48,+0530,451215777,mohanstatsman,Mohandas Menon,,Indians run out one short of a fifty in ODIs Ravi Shastri Dinesh Mongia  Mohd Kaif Rahul Dravid KL Rahul  #IndvWI #WIvInd,in,[],[],[],6,14,148,"['indvwi', 'wivind']",[],https://twitter.com/mohanstatsman/status/1491357910076891138,False,,0,,,,,,,,[],,,,
1491323667451564034,1491323667451564034,2022-02-09 13:40:44 India Standard Time,2022-02-09,13:40:44,+0530,605501349,boriamajumdar,Boria Majumdar,,The @RishabhPant17 call as opener was discussed in SA if I know right. And is something that has #RahulDravid stamp on it.,en,"[{'screen_name': 'rishabhpant17', 'name': 'rishabh pant', 'id': '730375072876105728'}]",[],[],90,154,5772,['rahuldravid'],[],https://twitter.com/BoriaMajumdar/status/1491323667451564034,False,,0,,,,,,,,[],,,,
1491322788447404034,1491322788447404034,2022-02-09 13:37:14 India Standard Time,2022-02-09,13:37:14,+0530,525126646,cskian716,Manya,,Rahul Dravid with the batting line-up today  https://t.co/RXiRII8a5G,en,[],[],['https://pbs.twimg.com/media/FLI-K_takAA9Kds.jpg'],2,8,138,[],[],https://twitter.com/CSKian716/status/1491322788447404034,False,,1,https://pbs.twimg.com/media/FLI-K_takAA9Kds.jpg,,,,,,,[],,,,
1491321315458187264,1491321315458187264,2022-02-09 13:31:23 India Standard Time,2022-02-09,13:31:23,+0530,117775189,criccrazyniks,Nikhil 🏏,,Rishabh Pant! Welcome to the era of Rahul Dravid as coach. :),en,[],[],[],10,10,359,[],[],https://twitter.com/CricCrazyNIKS/status/1491321315458187264,False,,0,,,,,,,,[],,,,
1491079208499818496,1491079208499818496,2022-02-08 21:29:20 India Standard Time,2022-02-08,21:29:20,+0530,1228212887610515459,man4_cricket,CricketMAN2,,"India's Head coach Rahul Dravid, Batting coach Vikram Rathour and Captain Rohit Sharma in the today's practice sessions.  https://t.co/G12qMH1hZD",en,[],[],['https://pbs.twimg.com/media/FLFgoAeUcAIeFvK.jpg'],10,79,1796,[],[],https://twitter.com/man4_cricket/status/1491079208499818496,False,,1,https://pbs.twimg.com/media/FLFgoAeUcAIeFvK.jpg,,,,,,,[],,,,
1491058072642797569,1491058072642797569,2022-02-08 20:05:21 India Standard Time,2022-02-08,20:05:21,+0530,1268064859981111296,bullmarkets1,Bull Markets,,TCS - Rahul Dravid of Stock Exchange  It took 3 yrs - to get 50 shares Received around Rs 3000 as total dividend in 3 yrs  Lesson - Stick to Leaders Stay disciplined Don't be in a hurry to get rich Don't try to time the market Stay the course Don't over expect  Happy *SIP*ping 🎯  https://t.co/5hiqpx0n0s,en,[],[],['https://pbs.twimg.com/media/FLFNagSaQAY9Y29.jpg'],14,23,198,[],[],https://twitter.com/BullMarkets1/status/1491058072642797569,False,,1,https://pbs.twimg.com/media/FLFNagSaQAY9Y29.jpg,,,,,,,[],,,,
1490963466428973057,1490963466428973057,2022-02-08 13:49:25 India Standard Time,2022-02-08,13:49:25,+0530,1553602212,cricketracker,CricTracker,,Most ODI fifties for India at home:  38 – Sachin Tendulkar 25 – MS Dhoni 25 – Virat Kohli 24 – Rahul Dravid 24 – Sourav Ganguly  #INDvWI,in,[],[],[],0,24,229,['indvwi'],[],https://twitter.com/Cricketracker/status/1490963466428973057,False,,0,,,,,,,,[],,,,
1490949319809449985,1490949319809449985,2022-02-08 12:53:12 India Standard Time,2022-02-08,12:53:12,+0530,1056973148044709888,varunkrrana,Varun Kumar Rana,,"Modi with teleprompter is like Rahul Dravid, Modi without teleprompter is like Virender Sehwag. 😁",en,[],[],[],130,2310,18078,[],[],https://twitter.com/VarunKrRana/status/1490949319809449985,False,,0,,,,,,,,[],,,,
1490691986797514761,1490691986797514761,2022-02-07 19:50:40 India Standard Time,2022-02-07,19:50:40,+0530,259843963,circleofcricket,Circle of Cricket,,Did You Know - #RahulDravid picked 5 wickets in his India career bowling off-spin! 😀  📸: BCCI   #INDvWI  https://t.co/BxqK8prBRs,en,[],[],['https://pbs.twimg.com/media/FLAAc8PacAM3fPh.jpg'],0,6,207,"['rahuldravid', 'indvwi']",[],https://twitter.com/circleofcricket/status/1490691986797514761,False,,1,https://pbs.twimg.com/media/FLAAc8PacAM3fPh.jpg,,,,,,,[],,,,
